source_file,source_path,ID,Block,Condition,trial,clicked_name_column,time_column,internal_column_block,block_header_matches_filename,raw_clicked_names,raw_times,raw_name_count,raw_timestamp_count,first_timestamp,early_artifact_found,removed_movement,adjustment_rule,adjusted_name_count,adjusted_timestamp_count,unmatched_timestamps,names_without_timestamps,raw_arm,raw_head,raw_leg,raw_other,arm,head,leg,other,total,extraction_valid,audit_status,audit_issue
RE13ON18_B_LB.csv,data/s_files/psychopy/RE13ON18_B_LB.csv,RE13ON18,B,LB,02,Klicks_Block_B_02.clicked_name,Klicks_Block_B_02.time,B,TRUE,"['Head_Block_B_02', 'Legs_Block_B_02', 'Other_Block_B_02', 'Arms_Block_B_02', 'Other_Block_B_02']","[0.0006939000450074673, 13.845074300188571, 95.0499526001513, 170.22589390003122, 200.29677939997055]",5,5,6.9390004500746e-4,TRUE,head,removed early timestamp and paired first movement,4,4,0,0,1,1,1,2,1,0,1,2,4,TRUE,OK,
RE13ON18_B_LB.csv,data/s_files/psychopy/RE13ON18_B_LB.csv,RE13ON18,B,LB,03,Klicks_Block_B_03.clicked_name,Klicks_Block_B_03.time,B,TRUE,"['Other_Block_B_03', 'Legs_Block_B_03', 'Arms_Block_B_03', 'Arms_Block_B_03']","[0.000497099943459034, 71.6088393998798, 188.50245949998498, 197.88304289989173]",4,4,4.9709994345903e-4,TRUE,other,removed early timestamp and paired first movement,3,3,0,0,2,0,1,1,2,0,1,0,3,TRUE,OK,
RE13ON18_B_LB.csv,data/s_files/psychopy/RE13ON18_B_LB.csv,RE13ON18,B,LB,04,Klicks_Block_B_04.clicked_name,Klicks_Block_B_04.time,B,TRUE,"['Arms_Block_B_04', 'Legs_Block_B_04', 'Legs_Block_B_04']","[0.0005864000413566828, 80.20575580000877, 130.95487389992923]",3,3,5.8640004135668e-4,TRUE,arm,removed early timestamp and paired first movement,2,2,0,0,1,0,2,0,0,0,2,0,2,TRUE,OK,
SA09OR12_A_LB.csv,data/s_files/psychopy/SA09OR12_A_LB.csv,SA09OR12,A,LB,01,Klicks_Block_A_01.clicked_name,Klicks_Block_A_01.time,A,TRUE,"['Head_Block_A_01', 'Legs_Block_A_01', 'Head_Block_A_01', 'Head_Block_A_01', 'Head_Block_A_01', 'Arms_Block_A_01']","[0.000687899999320507, 21.59382910002023, 122.87547380011529, 142.867679100018, 195.766717400169, 196.76840070006438]",6,6,6.878999993205e-4,TRUE,head,removed early timestamp and paired first movement,5,5,0,0,1,4,1,0,1,3,1,0,5,TRUE,OK,
SA09OR12_A_LB.csv,data/s_files/psychopy/SA09OR12_A_LB.csv,SA09OR12,A,LB,02,Klicks_Block_A_02.clicked_name,Klicks_Block_A_02.time,A,TRUE,"['Head_Block_A_02', 'Head_Block_A_02', 'Arms_Block_A_02']","[0.0005536000244319439, 38.186748899985105, 39.42045099986717, 86.33703669998795]",3,4,5.5360002443194e-4,TRUE,NA,removed early timestamp; retained all movement names,3,3,0,0,1,2,0,0,1,2,0,0,3,TRUE,OK,
SA09OR12_A_LB.csv,data/s_files/psychopy/SA09OR12_A_LB.csv,SA09OR12,A,LB,03,Klicks_Block_A_03.clicked_name,Klicks_Block_A_03.time,A,TRUE,['Legs_Block_A_03'],"[0.0005856000352650881, 65.8943080001045, 123.72397260018624, 124.22389090014622, 195.08340040012263]",1,5,5.8560003526508e-4,TRUE,NA,removed early timestamp; retained all movement names,1,4,3,0,0,0,1,0,0,0,1,0,1,TRUE,WARNING,3 timestamp(s) cannot be matched to clicked_name
SA09OR12_A_LB.csv,data/s_files/psychopy/SA09OR12_A_LB.csv,SA09OR12,A,LB,04,Klicks_Block_A_04.clicked_name,Klicks_Block_A_04.time,A,TRUE,"['Legs_Block_A_04', 'Legs_Block_A_04', 'Arms_Block_A_04']","[0.0005095000378787518, 55.765071500092745, 164.6116285000462, 189.81923670019023]",3,4,5.0950003787875e-4,TRUE,NA,removed early timestamp; retained all movement names,3,3,0,0,1,0,2,0,1,0,2,0,3,TRUE,OK,
SA09OR12_B_HB.csv,data/s_files/psychopy/SA09OR12_B_HB.csv,SA09OR12,B,HB,01,Klicks_Block_B_01.clicked_name,Klicks_Block_B_01.time,B,TRUE,"['Head_Block_B_01', 'Head_Block_B_01', 'Other_Block_B_01', 'Legs_Block_B_01', 'Arms_Block_B_01', 'Arms_Block_B_01', 'Other_Block_B_01', 'Head_Block_B_01']","[0.0006350001785904169, 43.56757350009866, 88.06989630009048, 102.5143185001798, 105.0970071000047, 134.63794220006093, 143.55022300011478, 157.82913810014725]",8,8,6.3500017859041e-4,TRUE,head,removed early timestamp and paired first movement,7,7,0,0,2,3,1,2,2,2,1,2,7,TRUE,OK,
SA09OR12_B_HB.csv,data/s_files/psychopy/SA09OR12_B_HB.csv,SA09OR12,B,HB,02,Klicks_Block_B_02.clicked_name,Klicks_Block_B_02.time,B,TRUE,"['Other_Block_B_02', 'Legs_Block_B_02']","[0.0005051000043749809, 23.526267200009897, 150.78324830019847]",2,3,5.0510000437498e-4,TRUE,NA,removed early timestamp; retained all movement names,2,2,0,0,0,0,1,1,0,0,1,1,2,TRUE,OK,
SA09OR12_B_HB.csv,data/s_files/psychopy/SA09OR12_B_HB.csv,SA09OR12,B,HB,03,Klicks_Block_B_03.clicked_name,Klicks_Block_B_03.time,B,TRUE,"['Head_Block_B_03', 'Arms_Block_B_03', 'Head_Block_B_03', 'Other_Block_B_03']","[0.0005631998647004366, 108.46230819984339, 116.74139779992402, 146.03158279997297]",4,4,5.6319986470043e-4,TRUE,head,removed early timestamp and paired first movement,3,3,0,0,1,2,0,1,1,1,0,1,3,TRUE,OK,
