source_file,ID,Block,Condition,arm_01,arm_02,arm_03,arm_04,head_01,head_02,head_03,head_04,leg_01,leg_02,leg_03,leg_04,other_01,other_02,other_03,other_04,total_01,total_02,total_03,total_04,validation_status,critical_issue,warning_issue
EL30AD28_B_HB.csv,EL30AD28,B,HB,1,0,0,0,0,0,0,0,0,2,2,4,1,2,3,2,2,4,5,6,VALID,,
HE20ÜB06_A_LB.csv,HE20ÜB06,A,LB,0,1,1,0,0,0,0,1,2,0,0,1,1,1,0,0,3,2,1,2,VALID,,
HE20ÜB06_B_HB.csv,HE20ÜB06,B,HB,2,1,0,2,1,1,1,0,0,0,0,2,1,0,3,1,4,2,4,5,VALID,,
IN06UE25_A_HB.csv,IN06UE25,A,HB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,,
IN06UE25_B_LB.csv,IN06UE25,B,LB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,,
JE06AD10_A_LB.csv,JE06AD10,A,LB,0,1,0,0,0,0,1,0,0,0,0,0,2,2,1,1,2,3,2,1,VALID_WITH_WARNING,,1 timestamp(s) cannot be matched to clicked_name
JE06AD10_B_HB.csv,JE06AD10,B,HB,0,1,0,0,2,2,0,0,0,1,0,0,1,2,0,0,3,6,0,0,VALID,,
JO26EI26_A_HB.csv,JO26EI26,A,HB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,,
JO26EI26_B_LB.csv,JO26EI26,B,LB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,,
JU20ÜC09_A_LB.csv,JU20ÜC09,A,LB,0,0,1,0,0,0,2,0,1,0,1,0,0,0,2,0,1,0,6,0,VALID,,
JU20ÜC09_B_HB.csv,JU20ÜC09,B,HB,0,0,0,1,0,0,0,4,0,0,0,0,2,1,2,1,2,1,2,6,VALID,,
KA09ÜH17_A_HB.csv,KA09ÜH17,A,HB,0,1,1,1,0,0,0,0,0,0,1,0,1,2,0,1,1,3,2,2,VALID,,
KA09ÜH17_B_LB.csv,KA09ÜH17,B,LB,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,2,2,3,VALID,,
KA14RE15_A_HB.csv,KA14RE15,A,HB,0,1,1,2,0,0,0,0,0,0,0,0,1,0,2,0,1,1,3,2,VALID,,
KA14RE15_B_LB.csv,KA14RE15,B,LB,1,0,0,1,0,1,0,1,0,0,0,1,0,3,3,2,1,4,3,5,VALID,,
KE30IE06_A_LB.csv,KE30IE06,A,LB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,VALID,,
KE30IE06_B_HB.csv,KE30IE06,B,HB,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,2,1,1,VALID,,
KO24IE08_A_HB.csv,KO24IE08,A,HB,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,VALID,,
KO24IE08_B_LB.csv,KO24IE08,B,LB,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,VALID,,
LE11ON12_A_HB.csv,LE11ON12,A,HB,2,1,1,1,0,0,0,0,0,0,0,0,1,3,0,1,3,4,1,2,VALID,,
LE11ON12_B_LB.csv,LE11ON12,B,LB,6,2,0,1,1,0,0,0,1,0,0,0,1,2,1,0,9,4,1,1,VALID_WITH_WARNING,,internal A/B header differs from standardized filename
MA25UT20_A_HB.csv,MA25UT20,A,HB,0,0,1,1,0,0,0,0,1,1,1,0,1,2,2,1,2,3,4,2,VALID,,
MA25UT20_B_LB.csv,MA25UT20,B,LB,1,2,2,1,0,0,0,0,1,1,2,1,1,1,2,1,3,4,6,3,VALID_WITH_WARNING,,1 timestamp(s) cannot be matched to clicked_name
MI27ER17_A_LB.csv,MI27ER17,A,LB,0,1,0,1,0,0,0,0,1,0,0,3,0,0,1,0,1,1,1,4,VALID,,
MI27ER17_B_HB.csv,MI27ER17,B,HB,1,1,1,1,0,0,0,0,0,1,2,1,2,0,0,0,3,2,3,2,VALID,,
NF16CH30_A_LB.csv,NF16CH30,A,LB,0,0,0,0,0,0,0,0,5,4,2,1,0,1,0,1,5,5,2,2,VALID,,
NF16CH30_B_HB.csv,NF16CH30,B,HB,0,2,2,3,0,0,0,0,4,3,2,3,0,0,2,1,4,5,6,7,VALID,,
PE16IN18_A_LB.csv,PE16IN18,A,LB,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,1,0,2,3,VALID,,
PE16IN18_B_HB.csv,PE16IN18,B,HB,0,0,0,0,1,3,2,1,0,0,0,0,0,0,0,0,1,3,2,1,VALID,,
RE13ON18_A_HB.csv,RE13ON18,A,HB,4,1,2,1,1,1,0,0,0,0,0,1,2,1,1,0,7,3,3,2,VALID,,
RE13ON18_B_LB.csv,RE13ON18,B,LB,2,1,2,0,1,0,0,0,0,1,1,2,0,2,0,0,3,4,3,2,VALID,,
SA09OR12_A_LB.csv,SA09OR12,A,LB,1,1,0,1,3,2,0,0,1,0,1,2,0,0,0,0,5,3,1,3,VALID_WITH_WARNING,,3 timestamp(s) cannot be matched to clicked_name
SA09OR12_B_HB.csv,SA09OR12,B,HB,2,0,1,0,2,0,1,1,1,1,0,0,2,1,1,0,7,2,3,1,VALID,,
SI21ÜR22_A_HB.csv,SI21ÜR22,A,HB,5,4,9,18,1,6,7,4,1,0,3,4,4,8,9,6,11,18,28,32,VALID,,
SI21ÜR22_B_LB.csv,SI21ÜR22,B,LB,10,6,5,9,2,2,6,2,3,1,2,2,3,4,8,7,18,13,21,20,VALID,,
SI22IE06_A_LB.csv,SI22IE06,A,LB,0,0,1,3,0,0,0,0,0,0,0,0,0,1,1,2,0,1,2,5,VALID,,
SI22IE06_B_HB.csv,SI22IE06,B,HB,3,5,5,6,0,0,0,1,1,1,1,0,0,0,1,2,4,6,7,9,VALID,,
TA17ER04_A_LB.csv,TA17ER04,A,LB,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,2,2,1,VALID,,
TA17ER04_B_HB.csv,TA17ER04,B,HB,2,0,0,0,0,1,0,0,0,0,0,0,1,2,3,1,3,3,3,1,VALID,,
UL01RL21_A_HB.csv,UL01RL21,A,HB,0,2,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,3,2,1,VALID,,
UL01RL21_B_LB.csv,UL01RL21,B,LB,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,2,2,VALID,,
UL22ON24_A_LB.csv,UL22ON24,A,LB,2,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,3,1,2,2,VALID,,
UL22ON24_B_HB.csv,UL22ON24,B,HB,2,5,4,3,0,0,0,0,1,1,2,0,1,1,2,2,4,7,8,5,VALID,,
UR31EM17_A_LB.csv,UR31EM17,A,LB,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,4,2,0,2,VALID,,
UR31EM17_B_HB.csv,UR31EM17,B,HB,2,1,1,1,0,0,0,0,0,0,0,0,3,1,1,2,5,2,2,3,VALID,,
