ID,Condition,trial_order,Timepoint,Effort,Timepoint_number
DI16UB31,LB,HB_LB,Baseline,1,0
DI16UB31,LB,HB_LB,Trial 1,1,1
DI16UB31,LB,HB_LB,Trial 2,2,2
DI16UB31,LB,HB_LB,Trial 3,2,3
DI16UB31,LB,HB_LB,Trial 4,3,4
DO11UB30,HB,LB_HB,Baseline,2,0
DO11UB30,HB,LB_HB,Trial 1,2,1
DO11UB30,HB,LB_HB,Trial 2,3,2
DO11UB30,HB,LB_HB,Trial 3,4,3
DO11UB30,HB,LB_HB,Trial 4,4,4
DO11UB30,LB,LB_HB,Baseline,0,0
DO11UB30,LB,LB_HB,Trial 1,2,1
DO11UB30,LB,LB_HB,Trial 2,2,2
DO11UB30,LB,LB_HB,Trial 3,2,3
DO11UB30,LB,LB_HB,Trial 4,2,4
EL30AD28,HB,LB_HB,Baseline,1,0
EL30AD28,HB,LB_HB,Trial 1,2,1
EL30AD28,HB,LB_HB,Trial 2,2,2
EL30AD28,HB,LB_HB,Trial 3,3,3
EL30AD28,HB,LB_HB,Trial 4,3,4
EL30AD28,LB,LB_HB,Baseline,1,0
EL30AD28,LB,LB_HB,Trial 1,3,1
EL30AD28,LB,LB_HB,Trial 2,3,2
EL30AD28,LB,LB_HB,Trial 3,2,3
EL30AD28,LB,LB_HB,Trial 4,3,4
HE20UB06,HB,LB_HB,Baseline,0,0
HE20UB06,HB,LB_HB,Trial 1,3,1
HE20UB06,HB,LB_HB,Trial 2,4,2
HE20UB06,HB,LB_HB,Trial 3,6,3
HE20UB06,HB,LB_HB,Trial 4,6,4
HE20UB06,LB,LB_HB,Baseline,0,0
HE20UB06,LB,LB_HB,Trial 1,0,1
HE20UB06,LB,LB_HB,Trial 2,3,2
HE20UB06,LB,LB_HB,Trial 3,2,3
HE20UB06,LB,LB_HB,Trial 4,5,4
IN06UE25,HB,HB_LB,Baseline,0,0
IN06UE25,HB,HB_LB,Trial 1,2,1
IN06UE25,HB,HB_LB,Trial 2,2,2
IN06UE25,HB,HB_LB,Trial 3,3,3
IN06UE25,HB,HB_LB,Trial 4,5,4
IN06UE25,LB,HB_LB,Baseline,0,0
IN06UE25,LB,HB_LB,Trial 1,3,1
IN06UE25,LB,HB_LB,Trial 2,4,2
IN06UE25,LB,HB_LB,Trial 3,5,3
IN06UE25,LB,HB_LB,Trial 4,4,4
JE06AD10,HB,LB_HB,Baseline,1,0
JE06AD10,HB,LB_HB,Trial 1,2,1
JE06AD10,HB,LB_HB,Trial 2,4,2
JE06AD10,HB,LB_HB,Trial 3,5,3
JE06AD10,HB,LB_HB,Trial 4,6,4
JE06AD10,LB,LB_HB,Baseline,0,0
JE06AD10,LB,LB_HB,Trial 1,1,1
JE06AD10,LB,LB_HB,Trial 2,2,2
JE06AD10,LB,LB_HB,Trial 3,3,3
JE06AD10,LB,LB_HB,Trial 4,5,4
JO26EI26,HB,HB_LB,Baseline,0,0
JO26EI26,HB,HB_LB,Trial 1,2,1
JO26EI26,HB,HB_LB,Trial 2,2,2
JO26EI26,HB,HB_LB,Trial 3,1,3
JO26EI26,HB,HB_LB,Trial 4,1,4
JO26EI26,LB,HB_LB,Baseline,0,0
JO26EI26,LB,HB_LB,Trial 1,2,1
JO26EI26,LB,HB_LB,Trial 2,1,2
JO26EI26,LB,HB_LB,Trial 3,2,3
JO26EI26,LB,HB_LB,Trial 4,1,4
JU20UC09,HB,LB_HB,Baseline,3,0
JU20UC09,HB,LB_HB,Trial 1,3,1
JU20UC09,HB,LB_HB,Trial 2,4,2
JU20UC09,HB,LB_HB,Trial 3,4,3
JU20UC09,HB,LB_HB,Trial 4,5,4
JU20UC09,LB,LB_HB,Baseline,2,0
JU20UC09,LB,LB_HB,Trial 1,3,1
JU20UC09,LB,LB_HB,Trial 2,3,2
JU20UC09,LB,LB_HB,Trial 3,4,3
JU20UC09,LB,LB_HB,Trial 4,4,4
KA09UH17,HB,HB_LB,Baseline,0,0
KA09UH17,HB,HB_LB,Trial 1,1,1
KA09UH17,HB,HB_LB,Trial 2,1,2
KA09UH17,HB,HB_LB,Trial 3,2,3
KA09UH17,HB,HB_LB,Trial 4,2,4
KA09UH17,LB,HB_LB,Baseline,0,0
KA09UH17,LB,HB_LB,Trial 1,0,1
KA09UH17,LB,HB_LB,Trial 2,2,2
KA09UH17,LB,HB_LB,Trial 3,2,3
KA09UH17,LB,HB_LB,Trial 4,4,4
KA14RE15,HB,HB_LB,Baseline,2,0
KA14RE15,HB,HB_LB,Trial 1,4,1
KA14RE15,HB,HB_LB,Trial 2,5,2
KA14RE15,HB,HB_LB,Trial 3,5,3
KA14RE15,HB,HB_LB,Trial 4,6,4
KA14RE15,LB,HB_LB,Baseline,,0
KA14RE15,LB,HB_LB,Trial 1,,1
KA14RE15,LB,HB_LB,Trial 2,,2
KA14RE15,LB,HB_LB,Trial 3,,3
KA14RE15,LB,HB_LB,Trial 4,,4
KE30IE06,HB,LB_HB,Baseline,2,0
KE30IE06,HB,LB_HB,Trial 1,3,1
KE30IE06,HB,LB_HB,Trial 2,4,2
KE30IE06,HB,LB_HB,Trial 3,4,3
KE30IE06,HB,LB_HB,Trial 4,4,4
KE30IE06,LB,LB_HB,Baseline,0,0
KE30IE06,LB,LB_HB,Trial 1,2,1
KE30IE06,LB,LB_HB,Trial 2,3,2
KE30IE06,LB,LB_HB,Trial 3,3,3
KE30IE06,LB,LB_HB,Trial 4,4,4
KO24IE08,HB,HB_LB,Baseline,0,0
KO24IE08,HB,HB_LB,Trial 1,2,1
KO24IE08,HB,HB_LB,Trial 2,3,2
KO24IE08,HB,HB_LB,Trial 3,3,3
KO24IE08,HB,HB_LB,Trial 4,4,4
KO24IE08,LB,HB_LB,Baseline,0,0
KO24IE08,LB,HB_LB,Trial 1,1,1
KO24IE08,LB,HB_LB,Trial 2,2,2
KO24IE08,LB,HB_LB,Trial 3,2,3
KO24IE08,LB,HB_LB,Trial 4,3,4
LE11ON12,HB,HB_LB,Baseline,0,0
LE11ON12,HB,HB_LB,Trial 1,0,1
LE11ON12,HB,HB_LB,Trial 2,0,2
LE11ON12,HB,HB_LB,Trial 3,0,3
LE11ON12,HB,HB_LB,Trial 4,0,4
LE11ON12,LB,HB_LB,Baseline,0,0
LE11ON12,LB,HB_LB,Trial 1,0,1
LE11ON12,LB,HB_LB,Trial 2,0,2
LE11ON12,LB,HB_LB,Trial 3,0,3
LE11ON12,LB,HB_LB,Trial 4,0,4
MA25UT20,HB,HB_LB,Baseline,5,0
MA25UT20,HB,HB_LB,Trial 1,7,1
MA25UT20,HB,HB_LB,Trial 2,8,2
MA25UT20,HB,HB_LB,Trial 3,5,3
MA25UT20,HB,HB_LB,Trial 4,5,4
MA25UT20,LB,HB_LB,Baseline,5,0
MA25UT20,LB,HB_LB,Trial 1,5,1
MA25UT20,LB,HB_LB,Trial 2,5,2
MA25UT20,LB,HB_LB,Trial 3,5,3
MA25UT20,LB,HB_LB,Trial 4,6,4
MI27ER17,HB,LB_HB,Baseline,1,0
MI27ER17,HB,LB_HB,Trial 1,2,1
MI27ER17,HB,LB_HB,Trial 2,2,2
MI27ER17,HB,LB_HB,Trial 3,2,3
MI27ER17,HB,LB_HB,Trial 4,3,4
MI27ER17,LB,LB_HB,Baseline,1,0
MI27ER17,LB,LB_HB,Trial 1,1,1
MI27ER17,LB,LB_HB,Trial 2,2,2
MI27ER17,LB,LB_HB,Trial 3,3,3
MI27ER17,LB,LB_HB,Trial 4,3,4
NF16CH30,HB,LB_HB,Baseline,3,0
NF16CH30,HB,LB_HB,Trial 1,4,1
NF16CH30,HB,LB_HB,Trial 2,5,2
NF16CH30,HB,LB_HB,Trial 3,5,3
NF16CH30,HB,LB_HB,Trial 4,5,4
NF16CH30,LB,LB_HB,Baseline,4,0
NF16CH30,LB,LB_HB,Trial 1,6,1
NF16CH30,LB,LB_HB,Trial 2,7,2
NF16CH30,LB,LB_HB,Trial 3,7,3
NF16CH30,LB,LB_HB,Trial 4,7,4
PE16IN18,HB,LB_HB,Baseline,1,0
PE16IN18,HB,LB_HB,Trial 1,3,1
PE16IN18,HB,LB_HB,Trial 2,2,2
PE16IN18,HB,LB_HB,Trial 3,2,3
PE16IN18,HB,LB_HB,Trial 4,3,4
PE16IN18,LB,LB_HB,Baseline,0,0
PE16IN18,LB,LB_HB,Trial 1,3,1
PE16IN18,LB,LB_HB,Trial 2,3,2
PE16IN18,LB,LB_HB,Trial 3,4,3
PE16IN18,LB,LB_HB,Trial 4,4,4
RE13ON18,HB,HB_LB,Baseline,0,0
RE13ON18,HB,HB_LB,Trial 1,0,1
RE13ON18,HB,HB_LB,Trial 2,3,2
RE13ON18,HB,HB_LB,Trial 3,1,3
RE13ON18,HB,HB_LB,Trial 4,3,4
RE13ON18,LB,HB_LB,Baseline,0,0
RE13ON18,LB,HB_LB,Trial 1,0,1
RE13ON18,LB,HB_LB,Trial 2,1,2
RE13ON18,LB,HB_LB,Trial 3,1,3
RE13ON18,LB,HB_LB,Trial 4,1,4
SA09OR12,HB,LB_HB,Baseline,4,0
SA09OR12,HB,LB_HB,Trial 1,5,1
SA09OR12,HB,LB_HB,Trial 2,5,2
SA09OR12,HB,LB_HB,Trial 3,4,3
SA09OR12,HB,LB_HB,Trial 4,5,4
SA09OR12,LB,LB_HB,Baseline,0,0
SA09OR12,LB,LB_HB,Trial 1,3,1
SA09OR12,LB,LB_HB,Trial 2,4,2
SA09OR12,LB,LB_HB,Trial 3,4,3
SA09OR12,LB,LB_HB,Trial 4,5,4
SI21UR22,HB,HB_LB,Baseline,0,0
SI21UR22,HB,HB_LB,Trial 1,4,1
SI21UR22,HB,HB_LB,Trial 2,3,2
SI21UR22,HB,HB_LB,Trial 3,4,3
SI21UR22,HB,HB_LB,Trial 4,4,4
SI21UR22,LB,HB_LB,Baseline,3,0
SI21UR22,LB,HB_LB,Trial 1,5,1
SI21UR22,LB,HB_LB,Trial 2,4,2
SI21UR22,LB,HB_LB,Trial 3,5,3
SI21UR22,LB,HB_LB,Trial 4,4,4
SI22IE06,HB,LB_HB,Baseline,3,0
SI22IE06,HB,LB_HB,Trial 1,3,1
SI22IE06,HB,LB_HB,Trial 2,4,2
SI22IE06,HB,LB_HB,Trial 3,5,3
SI22IE06,HB,LB_HB,Trial 4,5,4
SI22IE06,LB,LB_HB,Baseline,3,0
SI22IE06,LB,LB_HB,Trial 1,3,1
SI22IE06,LB,LB_HB,Trial 2,4,2
SI22IE06,LB,LB_HB,Trial 3,4,3
SI22IE06,LB,LB_HB,Trial 4,4,4
TA17ER04,HB,LB_HB,Baseline,1,0
TA17ER04,HB,LB_HB,Trial 1,2,1
TA17ER04,HB,LB_HB,Trial 2,5,2
TA17ER04,HB,LB_HB,Trial 3,6,3
TA17ER04,HB,LB_HB,Trial 4,4,4
TA17ER04,LB,LB_HB,Baseline,0,0
TA17ER04,LB,LB_HB,Trial 1,5,1
TA17ER04,LB,LB_HB,Trial 2,3,2
TA17ER04,LB,LB_HB,Trial 3,3,3
TA17ER04,LB,LB_HB,Trial 4,5,4
UL01RL21,HB,HB_LB,Baseline,0,0
UL01RL21,HB,HB_LB,Trial 1,0,1
UL01RL21,HB,HB_LB,Trial 2,0,2
UL01RL21,HB,HB_LB,Trial 3,0,3
UL01RL21,HB,HB_LB,Trial 4,1,4
UL01RL21,LB,HB_LB,Baseline,0,0
UL01RL21,LB,HB_LB,Trial 1,0,1
UL01RL21,LB,HB_LB,Trial 2,1,2
UL01RL21,LB,HB_LB,Trial 3,1,3
UL01RL21,LB,HB_LB,Trial 4,1,4
UL22ON24,HB,LB_HB,Baseline,1,0
UL22ON24,HB,LB_HB,Trial 1,3,1
UL22ON24,HB,LB_HB,Trial 2,3,2
UL22ON24,HB,LB_HB,Trial 3,4,3
UL22ON24,HB,LB_HB,Trial 4,3,4
UL22ON24,LB,LB_HB,Baseline,0,0
UL22ON24,LB,LB_HB,Trial 1,0,1
UL22ON24,LB,LB_HB,Trial 2,0,2
UL22ON24,LB,LB_HB,Trial 3,1,3
UL22ON24,LB,LB_HB,Trial 4,2,4
UR31EM17,HB,LB_HB,Baseline,2,0
UR31EM17,HB,LB_HB,Trial 1,3,1
UR31EM17,HB,LB_HB,Trial 2,4,2
UR31EM17,HB,LB_HB,Trial 3,4,3
UR31EM17,HB,LB_HB,Trial 4,4,4
UR31EM17,LB,LB_HB,Baseline,0,0
UR31EM17,LB,LB_HB,Trial 1,2,1
UR31EM17,LB,LB_HB,Trial 2,2,2
UR31EM17,LB,LB_HB,Trial 3,3,3
UR31EM17,LB,LB_HB,Trial 4,3,4
