ID,Condition,trial_order,baseline_effort,Trial,Effort
KO24IE08,LB,HB_LB,0,2,2
KO24IE08,LB,HB_LB,0,3,2
KO24IE08,LB,HB_LB,0,4,3
LE11ON12,HB,HB_LB,0,1,0
LE11ON12,HB,HB_LB,0,2,0
LE11ON12,HB,HB_LB,0,3,0
LE11ON12,HB,HB_LB,0,4,0
LE11ON12,LB,HB_LB,0,1,0
LE11ON12,LB,HB_LB,0,2,0
LE11ON12,LB,HB_LB,0,3,0
LE11ON12,LB,HB_LB,0,4,0
MA25UT20,HB,HB_LB,5,1,7
MA25UT20,HB,HB_LB,5,2,8
MA25UT20,HB,HB_LB,5,3,5
MA25UT20,HB,HB_LB,5,4,5
MA25UT20,LB,HB_LB,5,1,5
MA25UT20,LB,HB_LB,5,2,5
MA25UT20,LB,HB_LB,5,3,5
MA25UT20,LB,HB_LB,5,4,6
MI27ER17,HB,LB_HB,1,1,2
MI27ER17,HB,LB_HB,1,2,2
MI27ER17,HB,LB_HB,1,3,2
MI27ER17,HB,LB_HB,1,4,3
MI27ER17,LB,LB_HB,1,1,1
MI27ER17,LB,LB_HB,1,2,2
MI27ER17,LB,LB_HB,1,3,3
MI27ER17,LB,LB_HB,1,4,3
NF16CH30,HB,LB_HB,3,1,4
NF16CH30,HB,LB_HB,3,2,5
NF16CH30,HB,LB_HB,3,3,5
NF16CH30,HB,LB_HB,3,4,5
NF16CH30,LB,LB_HB,4,1,6
NF16CH30,LB,LB_HB,4,2,7
NF16CH30,LB,LB_HB,4,3,7
NF16CH30,LB,LB_HB,4,4,7
PE16IN18,HB,LB_HB,1,1,3
PE16IN18,HB,LB_HB,1,2,2
PE16IN18,HB,LB_HB,1,3,2
PE16IN18,HB,LB_HB,1,4,3
PE16IN18,LB,LB_HB,0,1,3
PE16IN18,LB,LB_HB,0,2,3
PE16IN18,LB,LB_HB,0,3,4
PE16IN18,LB,LB_HB,0,4,4
RE13ON18,HB,HB_LB,0,1,0
RE13ON18,HB,HB_LB,0,2,3
RE13ON18,HB,HB_LB,0,3,1
RE13ON18,HB,HB_LB,0,4,3
RE13ON18,LB,HB_LB,0,1,0
RE13ON18,LB,HB_LB,0,2,1
RE13ON18,LB,HB_LB,0,3,1
RE13ON18,LB,HB_LB,0,4,1
SA09OR12,HB,LB_HB,4,1,5
SA09OR12,HB,LB_HB,4,2,5
SA09OR12,HB,LB_HB,4,3,4
SA09OR12,HB,LB_HB,4,4,5
SA09OR12,LB,LB_HB,0,1,3
SA09OR12,LB,LB_HB,0,2,4
SA09OR12,LB,LB_HB,0,3,4
SA09OR12,LB,LB_HB,0,4,5
SI21UR22,HB,HB_LB,0,1,4
SI21UR22,HB,HB_LB,0,2,3
